user,timestamp,trial,distance,widths,time,pos_pointer,pos_target,moffset-x,moffset-y
4,2014-04-27T11:04:54,0, 100, 80,1705,"515,330","562,384",26,11
4,2014-04-27T11:04:56,1, 200, 40,2113,"579,395","462,384",12,-4
4,2014-04-27T11:04:58,2, 100, 40,1064,"489,380","512,384",6,-5
4,2014-04-27T11:05:00,3, 200, 40,1039,"505,379","412,384",6,4
4,2014-04-27T11:05:01,4, 300, 40,1326,"429,388","562,384",0,7
4,2014-04-27T11:05:03,5, 300, 80,800,"549,390","412,384",6,-5
4,2014-04-27T11:05:04,6, 100, 60,726,"419,379","462,384",29,15
4,2014-04-27T11:05:05,7, 400, 80,1468,"472,397","262,384",8,15
4,2014-04-27T11:05:07,8, 200, 40,872,"270,397","362,384",9,5
4,2014-04-27T11:05:08,9, 100, 60,705,"370,389","312,384",11,0
4,2014-04-27T11:05:09,10, 300, 100,707,"327,383","462,384",19,-5
4,2014-04-27T11:05:10,11, 400, 40,1112,"481,379","262,384",1,5
4,2014-04-27T11:05:12,12, 100, 60,585,"268,390","312,384",14,7
4,2014-04-27T11:05:13,13, 400, 80,919,"322,389","112,384",5,0
4,2014-04-27T11:05:14,14, 200, 80,705,"117,383","212,384",12,-2
4,2014-04-27T11:05:15,15, 200, 60,634,"222,382","112,384",-23,8
4,2014-04-27T11:05:16,16, 200, 60,633,"98,392","212,384",25,15
4,2014-04-27T11:05:17,17, 400, 100,1147,"237,400","412,384",25,-25
4,2014-04-27T11:05:18,18, 100, 100,1374,"237,400","462,384",-25,-25
4,2014-04-27T11:05:18,19, 300, 80,467,"417,358","312,384",-11,-28
4,2014-04-27T11:05:19,20, 100, 80,467,"312,362","362,384",0,3
4,2014-04-27T11:05:20,21, 200, 60,585,"355,387","262,384",-13,-7
4,2014-04-27T11:05:21,22, 100, 100,707,"256,377","312,384",5,9
4,2014-04-27T11:05:22,23, 200, 80,730,"315,393","212,384",21,0
4,2014-04-27T11:05:23,24, 400, 100,562,"248,384","412,384",10,22
4,2014-04-27T11:05:24,25, 300, 80,968,"398,405","262,384",-32,8
4,2014-04-27T11:05:25,26, 400, 60,1445,"243,391","462,384",12,-4
4,2014-04-27T11:05:27,27, 300, 100,1085,"468,380","312,384",-26,-3
4,2014-04-27T11:05:29,28, 200, 60,826,"292,381","412,384",-2,1
4,2014-04-27T11:05:30,29, 300, 100,681,"406,385","262,384",9,-15
4,2014-04-27T11:05:31,30, 200, 100,516,"285,371","362,384",-28,10
4,2014-04-27T11:05:32,31, 400, 60,1014,"329,394","162,384",-2,0
4,2014-04-27T11:05:33,32, 200, 100,657,"160,383","262,384",13,9
4,2014-04-27T11:05:34,33, 300, 40,1181,"275,393","112,384",-10,-2
4,2014-04-27T11:05:35,34, 300, 60,1038,"105,382","262,384",0,-2
4,2014-04-27T11:05:36,35, 400, 40,1326,"236,382","462,384",3,-4
4,2014-04-27T11:05:38,36, 400, 60,1158,"446,380","662,384",19,-18
4,2014-04-27T11:05:39,37, 100, 80,610,"668,366","612,384",29,-18
4,2014-04-27T11:05:40,38, 100, 40,1587,"641,373","662,384",-1,4
4,2014-04-27T11:05:42,39, 300, 60,1038,"636,386","512,384",22,1
4,2014-04-27T11:05:44,40, 100, 100,540,"538,385","562,384",13,0
4,2014-04-27T11:05:44,41, 300, 40,990,"575,384","412,384",2,3
4,2014-04-27T11:05:45,42, 200, 80,707,"415,387","512,384",6,13
4,2014-04-27T11:05:46,43, 100, 60,871,"510,395","462,384",2,5
4,2014-04-27T11:05:48,44, 300, 60,753,"480,390","612,384",12,16
4,2014-04-27T11:05:49,45, 200, 40,1636,"607,397","512,384",2,0
4,2014-04-27T11:05:51,46, 400, 100,1446,"517,384","712,384",1,22
4,2014-04-27T11:05:52,47, 200, 80,633,"706,405","612,384",40,11
4,2014-04-27T11:05:53,48, 400, 40,1254,"674,395","812,384",-2,-6
4,2014-04-27T11:05:55,49, 400, 80,1135,"790,377","612,384",21,-10
4,2014-04-27T11:05:56,50, 100, 40,658,"635,374","662,384",-5,-1
4,2014-04-27T11:05:57,51, 300, 80,658,"657,383","512,384",-9,-7
4,2014-04-27T11:05:58,52, 300, 60,680,"509,379","662,384",4,21
4,2014-04-27T11:05:59,53, 100, 40,1373,"651,405","612,384",-8,-5
4,2014-04-27T11:06:01,54, 400, 80,1085,"613,379","812,384",34,-5
4,2014-04-27T11:06:02,55, 300, 100,610,"838,379","662,384",-41,-7
4,2014-04-27T11:06:03,56, 400, 40,1086,"621,378","862,384",6,6
4,2014-04-27T11:06:04,57, 100, 100,945,"856,389","812,384",-6,3
4,2014-04-27T11:06:05,58, 400, 100,943,"791,387","612,384",18,-2
4,2014-04-27T11:06:06,59, 400, 60,968,"629,382","412,384",14,-6
4,2014-04-27T11:06:08,60, 100, 80,512,"437,382","462,384",4,4
4,2014-04-27T11:06:09,61, 200, 100,992,"452,385","362,384",-20,-5
4,2014-04-27T11:06:10,62, 200, 100,537,"356,379","462,384",33,-6
4,2014-04-27T11:06:11,63, 300, 40,2040,"478,378","312,384",-1,-1
